Predic Environment,startDate,endDate,sourceName,sourceVersion,decibel_level
dBASPL,2022-06-02 05:52:29-05:00,2022-06-02 06:22:24-05:00,Dhamari’s Apple Watch,8.6,66.972
dBASPL,2022-06-02 06:22:24-05:00,2022-06-02 06:52:24-05:00,Dhamari’s Apple Watch,8.6,72.2576
dBASPL,2022-06-02 06:52:24-05:00,2022-06-02 07:22:21-05:00,Dhamari’s Apple Watch,8.6,63.4754
dBASPL,2022-06-02 07:22:21-05:00,2022-06-02 07:52:21-05:00,Dhamari’s Apple Watch,8.6,60.832
dBASPL,2022-06-02 07:52:21-05:00,2022-06-02 08:22:16-05:00,Dhamari’s Apple Watch,8.6,70.7283
dBASPL,2022-06-02 08:22:16-05:00,2022-06-02 08:52:16-05:00,Dhamari’s Apple Watch,8.6,66.6454
dBASPL,2022-06-02 08:52:16-05:00,2022-06-02 09:22:11-05:00,Dhamari’s Apple Watch,8.6,76.499
dBASPL,2022-06-02 09:22:11-05:00,2022-06-02 09:52:06-05:00,Dhamari’s Apple Watch,8.6,79.676
dBASPL,2022-06-02 09:52:06-05:00,2022-06-02 10:22:06-05:00,Dhamari’s Apple Watch,8.6,72.8499
dBASPL,2022-06-02 10:22:06-05:00,2022-06-02 10:37:46-05:00,Dhamari’s Apple Watch,8.6,70.194
dBASPL,2022-06-02 11:50:21-05:00,2022-06-02 12:20:21-05:00,Dhamari’s Apple Watch,8.6,73.269
dBASPL,2022-06-02 12:20:21-05:00,2022-06-02 12:50:21-05:00,Dhamari’s Apple Watch,8.6,72.4911
dBASPL,2022-06-02 12:50:21-05:00,2022-06-02 13:20:18-05:00,Dhamari’s Apple Watch,8.6,74.2959
dBASPL,2022-06-02 13:20:18-05:00,2022-06-02 13:50:18-05:00,Dhamari’s Apple Watch,8.6,70.9472
dBASPL,2022-06-02 13:50:18-05:00,2022-06-02 14:20:13-05:00,Dhamari’s Apple Watch,8.6,66.5878
dBASPL,2022-06-02 14:20:13-05:00,2022-06-02 14:50:08-05:00,Dhamari’s Apple Watch,8.6,72.0229
